Date,PortfolioValue
2007-10-17,1.2534195547099678
2007-10-18,1.2034498410234795
2007-10-19,1.1709773845297164
2007-10-22,1.163499952330386
2007-10-23,1.2326817420480003
2007-10-24,1.2380609986633253
2007-10-25,1.2555095039149007
2007-10-26,1.2874969853231677
2007-10-29,1.3364090261245056
2007-10-30,1.3274645970902743
2007-10-31,1.3351418936929118
2007-11-01,1.3269082591007033
2007-11-02,1.342779833450711
2007-11-05,1.322284920525717
2007-11-06,1.3076559590699004
2007-11-07,1.3066581279493195
2007-11-08,1.2865576675912724
2007-11-12,1.2669445356544073
2007-11-13,1.2857354427909815
2007-11-14,1.343983408629589
2007-11-15,1.3377701550117806
2007-11-16,1.336506173691698
2007-11-19,1.3366987223925377
2007-11-20,1.3061840734070278
2007-11-21,1.2533301506947847
2007-11-22,1.2433305344250714
2007-11-23,1.2647223925462314
2007-11-26,1.2942576498204414
2007-11-27,1.2861969041346617
2007-11-28,1.2668393364823842
2007-11-29,1.2709305117220575
2007-11-30,1.301685715942598
2007-12-03,1.326260024350955
2007-12-04,1.32466003328163
2007-12-05,1.3443038742314812
2007-12-06,1.3478436498879172
2007-12-07,1.3525639396578089
2007-12-10,1.3492638654967175
2007-12-11,1.3821761370585026
2007-12-12,1.3971423332857342
2007-12-13,1.3727175796858546
2007-12-14,1.3702102257677982
2007-12-17,1.3049532192635027
2007-12-18,1.2966132178781167
2007-12-19,1.298739467611904
2007-12-20,1.3024277156645807
2007-12-24,1.3549608499206962
2007-12-26,1.3755920185539634
2007-12-27,1.3781837941184687
2007-12-28,1.3777498203950986
2007-12-31,1.3919516534154153
2008-01-01,1.3933389339158744
2008-01-02,1.4017957726622348
2008-01-03,1.4015905861114086
2008-01-04,1.4247013888475986
2008-01-07,1.4258611483850405
2008-01-08,1.4279752677787445
2008-01-09,1.4241453268438518
2008-01-10,1.3963497447697446
2008-01-11,1.406762124896079
2008-01-14,1.4083795322223929
2008-01-15,1.376377858926124
2008-01-16,1.3429863214025137
2008-01-17,1.337557814420695
2008-01-18,1.2875213155667191
2008-01-21,1.1683046865048257
2008-01-22,1.094442742462111
2008-01-23,1.1667225882054257
2008-01-24,1.1261771078688925
2008-01-25,1.2094735340657206
2008-01-28,1.1833575245184174
2008-01-29,1.1849569538219693
2008-01-30,1.1579304541974789
2008-01-31,1.1507422382403056
2008-02-01,1.193593269006838
2008-02-04,1.2285239283871858
2008-02-05,1.23340463147654
2008-02-06,1.1947922208190858
2008-02-07,1.149579104051249
2008-02-08,1.1465053119113549
2008-02-11,1.0837642988901846
2008-02-12,1.0793127654821428
2008-02-13,1.100959700067214
2008-02-14,1.165727693464113
2008-02-15,1.1897856723755798
2008-02-18,1.183578836220507
2008-02-19,1.184509544751734
2008-02-20,1.1543548877793315
2008-02-21,1.1632547788376006
2008-02-22,1.1439328486691611
2008-02-25,1.165354829803937
2008-02-26,1.1818889849645067
2008-02-27,1.1814952882114882
2008-02-28,1.1854801791453222
2008-02-29,1.1707785958570758
2008-03-03,1.1062693340152425
2008-03-04,1.0851780735244168
2008-03-05,1.0987437746020463
2008-03-07,1.0631592927689077
2008-03-10,1.069986851917963
2008-03-11,1.0855208751662049
2008-03-12,1.0869688246970182
2008-03-13,1.0280026632234163
2008-03-14,1.056911177239256
2008-03-17,0.9994016289179842
2008-03-18,1.0064622003306023
2008-03-19,1.0161362732169004
2008-03-24,1.0246221245422378
2008-03-25,1.0879194912965275
2008-03-26,1.0763737165475695
2008-03-27,1.0767057323305798
2008-03-28,1.1032100468040686
2008-03-31,1.0539249974043516
2008-04-01,1.0551210541742881
2008-04-02,1.058591266358253
2008-04-03,1.062713563373411
2008-04-04,1.0331870480378373
2008-04-07,1.060202656622258
2008-04-08,1.0479890139159707
2008-04-09,1.0568438433823402
2008-04-10,1.05351572360097
2008-04-11,1.0641258917324503
2008-04-15,1.0882620497066318
2008-04-16,1.0900773243430988
2008-04-17,1.1069506290673634
2008-04-21,1.1256209341519705
2008-04-22,1.1285454909062553
2008-04-23,1.1222435342206865
2008-04-24,1.116787714428008
2008-04-25,1.1433699583911339
2008-04-28,1.1381221569449032
2008-04-29,1.1633066874666593
2008-04-30,1.1562548604985936
2008-05-02,1.1710916283539654
2008-05-05,1.162523587087014
2008-05-06,1.1511840415346024
2008-05-07,1.149005594419194
2008-05-08,1.1361981719160819
2008-05-09,1.1126226803333543
2008-05-12,1.1197623013281572
2008-05-13,1.1067253062389573
2008-05-14,1.1195393293748372
2008-05-15,1.1441391496188784
2008-05-16,1.1542417529929898
2008-05-20,1.1416813151669678
2008-05-21,1.1447032751865347
2008-05-22,1.1227604005515355
2008-05-23,1.1040047170791674
2008-05-26,1.0870255566193
2008-05-27,1.0834075265707155
2008-05-28,1.0972956692505067
2008-05-29,1.0775811122558157
2008-05-30,1.0858329578235455
2008-06-02,1.0548746459128164
2008-06-03,1.049262193039346
2008-06-04,1.018415767967617
2008-06-05,1.0400021361771004
2008-06-06,1.028373197297644
2008-06-09,0.9983810923055592
2008-06-10,0.9863089951239618
2008-06-11,1.0037139232861993
2008-06-12,1.0074322532807416
2008-06-13,1.0021782079546315
2008-06-16,1.0152560433722884
2008-06-17,1.0342738040342725
2008-06-18,1.0175763828461184
2008-06-19,0.9991116044709172
2008-06-20,0.9621285581241579
2008-06-23,0.9430204289175622
2008-06-24,0.9253113889526041
2008-06-25,0.9397700534822366
2008-06-26,0.9546301633054172
2008-06-27,0.9124557638367758
2008-06-30,0.8899015649506266
2008-07-01,0.8562037189370348
2008-07-02,0.9021658252515511
2008-07-03,0.8628630356726871
2008-07-04,0.8839691391850109
2008-07-07,0.8872479251156135
2008-07-08,0.8775382299055673
2008-07-09,0.9169949980815899
2008-07-10,0.9181920048464514
2008-07-11,0.8916215281736439
2008-07-14,0.8894425161538592
2008-07-15,0.8476025328539266
