Date,PortfolioValue
2007-09-18,1.0122032890014745
2007-09-19,1.0563017698347505
2007-09-20,1.059911610113173
2007-09-21,1.0812904560358052
2007-09-24,1.1038007392448999
2007-09-25,1.105384198453678
2007-09-26,1.1057771031995418
2007-09-27,1.1200775602010284
2007-09-28,1.12503481702632
2007-10-01,1.1363821796174656
2007-10-03,1.1702179572914972
2007-10-04,1.1697042417187493
2007-10-05,1.1642564104009308
2007-10-08,1.140189775937554
2007-10-09,1.1979599348725578
2007-10-10,1.225284149633549
2007-10-11,1.2452657066705874
2007-10-12,1.2220991908198704
2007-10-15,1.2801051405261177
2007-10-16,1.2795406463176981
2007-10-17,1.2534195547099678
2007-10-18,1.2034498410234795
2007-10-19,1.1709773845297164
2007-10-22,1.163499952330386
2007-10-23,1.2326817420480003
2007-10-24,1.2380609986633253
2007-10-25,1.2555095039149005
2007-10-26,1.2874969853231677
2007-10-29,1.3364090261245056
2007-10-30,1.327464597090274
2007-10-31,1.3351418936929116
2007-11-01,1.326908259100703
2007-11-02,1.3427798334507108
2007-11-05,1.3222849205257168
2007-11-06,1.3076559590699002
2007-11-07,1.3066581279493192
2007-11-08,1.2865576675912722
2007-11-12,1.2669445356544073
2007-11-13,1.2857354427909813
2007-11-14,1.343983408629589
2007-11-15,1.3377701550117809
2007-11-16,1.3365061736916983
2007-11-19,1.336698722392538
2007-11-20,1.306184073407028
2007-11-21,1.253330150694785
2007-11-22,1.2433305344250718
2007-11-23,1.2647223925462319
2007-11-26,1.2942576498204421
2007-11-27,1.2861969041346624
2007-11-28,1.266839336482385
2007-11-29,1.2709305117220582
2007-11-30,1.301685715942599
2007-12-03,1.326260024350956
2007-12-04,1.324660033281631
2007-12-05,1.3443038742314823
2007-12-06,1.3478436498879183
2007-12-07,1.35256393965781
2007-12-10,1.3492638654967186
2007-12-11,1.382176137058504
2007-12-12,1.3971423332857356
2007-12-13,1.3727175796858557
2007-12-14,1.3702102257677995
2007-12-17,1.304953219263504
2007-12-18,1.296613217878118
2007-12-19,1.2987394676119053
