Date,PortfolioValue
2007-10-17,0.9795855710540322
2007-10-18,0.9405327173363386
2007-10-19,0.9151545032192542
2007-10-22,0.9093106621339012
2007-10-23,0.9633783386213249
2007-10-24,0.9675823915607963
2007-10-25,0.9812189300340282
2007-10-26,1.0062181213456303
2007-10-29,1.0444443714785185
2007-10-30,1.0374540276703934
2007-10-31,1.0434540688763774
2007-11-01,1.0370192325810994
2007-11-02,1.0494233515090001
2007-11-05,1.03340595262138
2007-11-06,1.0219729735300815
2007-11-07,1.0211931381075394
2007-11-08,1.0054840159191254
2007-11-12,0.9901557557397335
2007-11-13,1.0048414221862438
2007-11-14,1.0503639821816886
2007-11-15,1.0455081351746482
2007-11-16,1.0445202952621608
2007-11-19,1.0446707779384194
2007-11-20,1.0208226500392972
2007-11-21,0.9795156990922149
2007-11-22,0.9717006943102329
2007-11-23,0.9884190831966837
2007-11-26,1.0115017866334268
2007-11-27,1.0052020682860832
2007-11-28,0.9900735393816006
2007-11-29,0.9932709174808794
2007-11-30,1.0173070466253884
2007-12-03,1.0365126173738266
2007-12-04,1.0352621756047984
2007-12-05,1.050614435813478
2007-12-06,1.0533808783384753
2007-12-07,1.0570699286109115
2007-12-10,1.0544908201077245
2007-12-11,1.080212763100705
2007-12-12,1.0919093014406958
2007-12-13,1.072820612331702
2007-12-14,1.0708610388509594
2007-12-17,1.0198607000246047
2007-12-18,1.0133427348396868
2007-12-19,1.015004463788983
2007-12-20,1.0178869420152832
2007-12-24,1.0589431870101544
2007-12-26,1.0750670738852142
2007-12-27,1.0770926254548059
2007-12-28,1.0767534617677288
2007-12-31,1.087852626972982
2008-01-01,1.0889368289515995
2008-01-02,1.0955461060939067
2008-01-03,1.095385746552835
2008-01-04,1.1134475430285458
2008-01-07,1.1143539304424819
2008-01-08,1.116006179161417
2008-01-09,1.113012963630582
2008-01-10,1.0912898693669508
2008-01-11,1.099427461678926
2008-01-14,1.1006915147834273
2008-01-15,1.075681232078955
2008-01-16,1.049584728134586
2008-01-17,1.0453421845331452
2008-01-18,1.0062371361722569
2008-01-21,0.9130657082813346
2008-01-22,0.8553403485944213
2008-01-23,0.9118292502571577
2008-01-24,0.8801417220389519
2008-01-25,0.9452404169780625
2008-01-28,0.9248299598171581
2008-01-29,0.926079962549119
2008-01-30,0.9049579296521819
