timestep,date,returns,volatility,ma_ratio,regime,w1,w2,w3,w4,reward,portfolio_return,capital,prev_capital,capital_change,action_norm
3194,2020-10-12 00:00:00,0.0017061136895790696,0.008513991720974445,4.271523976260715,1.0,0.42976030707359314,3.5380620033720334e-07,0.2287112921476364,0.341528058052063,3.471276310314783,-0.003369383017156391,0.9966306169828436,1.0,-0.003369383017156391,0.5946798920631409
3195,2020-10-13 00:00:00,-0.0030478769913315773,0.008551694452762604,3.2141941790594206,1.0,0.4320816695690155,3.5432725553619093e-07,0.22518518567085266,0.3427327871322632,2.880320936107556,-0.006627779338558737,0.9900251691714297,0.9966306169828436,-0.0066054478114139226,0.5957085490226746
3196,2020-10-14 00:00:00,-0.0049951160326600075,0.00866760965436697,1.3700862715030955,1.0,0.43186381459236145,3.549859002305311e-07,0.22740988433361053,0.34072595834732056,2.0760474403419438,0.0035524515881875107,0.9935421856559984,0.9900251691714297,0.0035170164845687024,0.595244288444519
3197,2020-10-15 00:00:00,0.0030572679825127125,0.008699562400579453,1.5309252432607883,1.0,0.4341990649700165,3.5581476254265e-07,0.22874504327774048,0.33705559372901917,3.040747768751591,-0.009780840461152907,0.9838245080466719,0.9935421856559984,-0.009717677609326514,0.5953651070594788
3198,2020-10-16 00:00:00,-0.008714109659194946,0.009777591563761234,-6.335513851329319,1.0,0.4324240982532501,3.5734069570025895e-07,0.2272287905216217,0.3403467833995819,1.03531946287927,0.002253623517951553,0.986041678095543,0.9838245080466719,0.00221717004887112,0.5953649878501892
3199,2020-10-19 00:00:00,0.00559163186699152,0.009798550978302956,-2.1937429523444436,1.0,0.43464407324790955,3.557404681941989e-07,0.23061487078666687,0.3347407281398773,0.9672790536791622,0.005433724608115975,0.9913995570264387,0.986041678095543,0.0053578789308956765,0.5951050519943237
3200,2020-10-20 00:00:00,0.005071640480309725,0.009890994988381863,0.0023535769186181317,1.0,0.4299856126308441,3.562319932370883e-07,0.23233021795749664,0.3376838266849518,1.5353052510710734,-9.50768435252769e-05,0.9913052978858843,0.9913995570264387,-9.425914055438689e-05,0.5940499305725098
3201,2020-10-21 00:00:00,-0.0030888633336871862,0.009859922342002392,0.3926344692903667,1.0,0.43329164385795593,3.568697195532877e-07,0.22825102508068085,0.33845701813697815,2.397300934722097,0.0035166302267040095,0.9947913520603217,0.9913052978858843,0.0034860541744373696,0.5953094363212585
3202,2020-10-22 00:00:00,0.0020909220911562443,0.009816755540668964,0.15498506949448715,1.0,0.4328169822692871,3.545028732787614e-07,0.2254561483860016,0.34172654151916504,3.141929038986746,-0.0012234616444531943,0.9935742629968422,0.9947913520603217,-0.001217089063479504,0.5957667827606201
3203,2020-10-23 00:00:00,-0.00413910998031497,0.009851519018411636,1.0096514908695162,1.0,0.4278835356235504,3.5666016628965735e-07,0.2312041074037552,0.34091201424598694,3.5413506136754043,0.0041441498816645606,0.9976917836612654,0.9935742629968422,0.00411752066442328,0.593936562538147
3204,2020-10-26 00:00:00,0.0027641707565635443,0.00912601687014103,0.3129182532033323,1.0,0.4330056607723236,3.559295862487488e-07,0.2247704118490219,0.34222355484962463,6.287742544156942,-0.0058794667572461545,0.9918258879852514,0.9976917836612654,-0.005865895676014032,0.5959300398826599
3205,2020-10-27 00:00:00,-0.008029102347791195,0.009461404755711555,-2.0011910750601656,1.0,0.4278852045536041,3.5727870795199124e-07,0.22373485565185547,0.34837961196899414,4.114844186159569,0.0011322314907951103,0.9929488644890141,0.9918258879852514,0.001122976503762696,0.59540855884552
3206,2020-10-28 00:00:00,0.00042814103653654456,0.008946356363594532,-1.8401752174839472,1.0,0.4339693784713745,3.5827585520564753e-07,0.2230437994003296,0.34298643469810486,3.4182366855771877,-0.00399483460114991,0.9889821980079808,0.9929488644890141,-0.003966666481033276,0.5964207053184509
3207,2020-10-29 00:00:00,-0.006174543872475624,0.009250017814338207,-5.475455428940905,1.0,0.42865970730781555,3.5710084489437577e-07,0.22512584924697876,0.34621408581733704,3.0605151800802814,0.0010213899472497623,0.9899923344830351,0.9889821980079808,0.001010136475054324,0.5952268242835999
3208,2020-10-30 00:00:00,0.00123044871725142,0.009191812947392464,-4.236596208284446,1.0,0.4349934756755829,3.6017493698636827e-07,0.22655270993709564,0.3384535014629364,2.684858351090712,0.002670734861591084,0.9926363415234469,0.9899923344830351,0.002644007040411789,0.5958995223045349
3209,2020-11-02 00:00:00,0.0017571153584867716,0.008853611536324024,-7.901651460208187,1.0,0.4359329640865326,3.531024503899971e-07,0.22351549565792084,0.3405512571334839,2.0847711857324627,0.003967153701751158,0.9965742824602144,0.9926363415234469,0.00393794093676747,0.596633791923523
3210,2020-11-03 00:00:00,0.003239351324737072,0.008505456149578094,0.7542108003975134,1.0,0.43462198972702026,3.564281030321581e-07,0.229154571890831,0.3362230956554413,1.747014660124047,0.008349240899735655,1.004894921218956,0.9965742824602144,0.008320638758741561,0.5953603982925415
3211,2020-11-04 00:00:00,0.006603441666811705,0.00876027811318636,4.7595716023523975,1.0,0.4371154010295868,3.550153166997916e-07,0.22722269594669342,0.33566156029701233,2.560415690565522,-0.002582781439662396,1.0022994972676207,1.004894921218956,-0.002595423951335274,0.5961281061172485
3212,2020-11-05 00:00:00,-0.0032122936099767685,0.008605065755546093,25.710291358637544,1.0,0.43134021759033203,3.576011806671886e-07,0.22888755798339844,0.3397718667984009,2.1843263086867215,0.009771778593788083,1.012093746039585,1.0022994972676207,0.00979424877196422,0.594885528087616
3213,2020-11-06 00:00:00,0.008661157451570034,0.008744638413190842,85.18165575729259,1.0,0.4361918866634369,3.528564036514581e-07,0.22772972285747528,0.336078017950058,2.3864820223215695,0.00847696822594779,1.020673232566443,1.012093746039585,0.008579486526858027,0.5958796739578247
3214,2020-11-09 00:00:00,0.0096089206635952,0.009250401519238949,11.444079168180515,1.0,0.43035784363746643,3.557404397724895e-07,0.22930920124053955,0.34033262729644775,3.5773267775766047,0.008214847047670615,1.0290579070576278,1.020673232566443,0.008384674491184851,0.5946569442749023
3215,2020-11-10 00:00:00,0.007480122148990631,0.009481517598032951,6.06120394627037,1.0,0.4338091015815735,3.5453123814477294e-07,0.2254810333251953,0.34070953726768494,5.156123189900163,0.007517540089086561,1.036793891127925,1.0290579070576278,0.007735984070297297,0.5959152579307556
3216,2020-11-11 00:00:00,0.005892968736588955,0.00979686714708805,3.7757465073282863,1.0,0.42902353405952454,3.537802513164934e-07,0.22497870028018951,0.3459973931312561,7.512515334048789,-0.002505815574795456,1.034195876847684,1.036793891127925,-0.00259801428024109,0.5953072905540466
3217,2020-11-12 00:00:00,-0.0032808666583150625,0.009819275699555874,4.770514031335368,1.0,0.4271598160266876,3.5622744576357945e-07,0.23058076202869415,0.34225907921791077,6.468334285764864,-0.0015203676478404704,1.0326235188949948,1.034195876847684,-0.001572357952689174,0.5939480066299438
3218,2020-11-13 00:00:00,-0.002910380717366934,0.00878859031945467,2.27016710789099,1.0,0.4324638247489929,3.538885380294232e-07,0.22225961089134216,0.34527620673179626,8.954398620236134,-0.0025528780735067924,1.0299873569554203,1.0326235188949948,-0.0026361619395744995,0.5963555574417114
3219,2020-11-17 00:00:00,-0.000987500068731606,0.008640282787382603,1.0769990847467246,1.0,0.4279358386993408,3.5463838798932557e-07,0.2267168164253235,0.3453470468521118,7.88630194876019,0.005217937858939425,1.035361766979507,1.0299873569554203,0.005374410024086673,0.5948060154914856
3220,2020-11-18 00:00:00,0.006091134622693062,0.00879184901714325,0.8000446542692622,1.0,0.43470990657806396,3.5217638583162625e-07,0.22653615474700928,0.3387536108493805,7.849981001653206,0.0006976308836927902,1.0360840673239466,1.035361766979507,0.0007223003444396525,0.595856785774231
3221,2020-11-19 00:00:00,0.0008626478374935687,0.00867385696619749,-0.03216438219883348,1.0,0.43110328912734985,3.561500818705099e-07,0.226540669798851,0.3423556983470917,7.9985875343433825,-0.0016715632117093593,1.0343521873127697,1.0360840673239466,-0.0017318800111769672,0.5952966809272766
3222,2020-11-20 00:00:00,-0.0006834405357949436,0.008685431443154812,0.37654249854523836,1.0,0.43308523297309875,3.5470753800836974e-07,0.22771859169006348,0.3391958475112915,7.014481228301567,0.005143228811682388,1.0396720972839835,1.0343521873127697,0.005319909971213788,0.5953758358955383
3223,2020-11-23 00:00:00,0.0055100079625844955,0.008755497634410858,1.2387171413106153,1.0,0.43033367395401,3.5373281548345403e-07,0.22952698171138763,0.3401390314102173,8.119628508955985,0.0023996521579146,1.0421669486757545,1.0396720972839835,0.00249485139177108,0.594612717628479
3224,2020-11-24 00:00:00,0.0030181249603629112,0.008731347508728504,1.6861643315204862,1.0,0.4300813376903534,3.520524956002191e-07,0.22996120154857635,0.3399570882320404,7.853674945145415,0.003855083822001726,1.0461845896194193,1.0421669486757545,0.0040176409436647464,0.5944938659667969
3225,2020-11-25 00:00:00,0.0022274982184171677,0.00824811588972807,0.9642234743346244,1.0,0.4326106011867523,3.529500531840313e-07,0.2235826700925827,0.34380635619163513,10.343773228258588,-0.009441710805305203,1.0363068172752659,1.0461845896194193,-0.009877772344153435,0.5961073637008667
3226,2020-11-26 00:00:00,-0.007383200339972973,0.008699332363903522,0.2864366737709397,1.0,0.4287621080875397,3.586529260246607e-07,0.22573187947273254,0.3455056846141815,7.1765733076586455,0.0017058949710582194,1.0380746478633291,1.0363068172752659,0.0017678305880632905,0.5951184630393982
3227,2020-11-27 00:00:00,0.001072281738743186,0.008248159661889076,0.396869347657014,1.0,0.4297711253166199,3.5695049405148893e-07,0.22609426081180573,0.34413424134254456,8.411014838992052,0.0031106408183236844,1.0413037252354398,1.0380746478633291,0.0032290773721106447,0.5951892137527466
3228,2020-12-01 00:00:00,0.00200319173745811,0.008296428248286247,0.08232487578084982,1.0,0.4277708828449249,3.569376758605358e-07,0.22604070603847504,0.3461880683898926,8.783708009594319,0.007037987576609783,1.0486324079171243,1.0413037252354398,0.007328682681684517,0.5949189066886902
3229,2020-12-02 00:00:00,0.005915784277021885,0.00845983624458313,0.3085156992732528,1.0,0.43200770020484924,3.5476989523886004e-07,0.2222728133201599,0.3457191288471222,9.307978385517261,0.001260404807922999,1.049954109245807,1.0486324079171243,0.0013217013286825896,0.5962864756584167
3230,2020-12-03 00:00:00,0.0034728979226201773,0.008493218570947647,0.4067799385811378,1.0,0.4323340654373169,3.5481693316796736e-07,0.22139990329742432,0.34626567363739014,8.865991056907578,-0.0012866586925589507,1.0486031766643578,1.049954109245807,-0.001350932581449138,0.5965153574943542
3231,2020-12-04 00:00:00,-0.002557974774390459,0.008291945792734623,0.9711638073003129,1.0,0.4308460056781769,3.578801113235386e-07,0.2258549928665161,0.34329864382743835,7.447985449427421,-0.0007921435256571518,1.0477725324469795,1.0486031766643578,-0.000830644217378218,0.5953929424285889
3232,2020-12-07 00:00:00,0.0005998251726850867,0.008247442543506622,0.8458197317999243,1.0,0.4341360032558441,3.560813865988166e-07,0.22419139742851257,0.34167224168777466,7.853054335452541,-0.0011631109641750959,1.046553856726529,1.0477725324469795,-0.001218675720450646,0.5962178707122803
3233,2020-12-08 00:00:00,0.0018252168083563447,0.007602890487760305,0.9800287217344996,1.0,0.43179696798324585,3.5600868386609363e-07,0.2253534197807312,0.3428492546081543,6.3728787915427,0.004752131831139428,1.0515272186220808,1.046553856726529,0.004973361895551864,0.5956327319145203
3234,2020-12-09 00:00:00,0.005094577558338642,0.007310786750167608,1.0142817016247334,1.0,0.4330337941646576,3.5448505286694854e-07,0.22482392191886902,0.34214192628860474,5.966372109426928,-0.0004926563088195612,1.0510091771039312,1.0515272186220808,-0.0005180415181496034,0.5959237813949585
3235,2020-12-10 00:00:00,0.0015607296954840422,0.006954175420105457,0.9541311288028704,1.0,0.43259814381599426,3.577312099878327e-07,0.22591370344161987,0.3414877653121948,4.596928407651661,0.0012935088164145458,1.0523686667406478,1.0510091771039312,0.0013594896367166154,0.5956442356109619
3236,2020-12-11 00:00:00,0.0013254780787974596,0.0062590427696704865,1.8274889636530136,1.0,0.4347759783267975,3.578020653094427e-07,0.22717739641666412,0.33804628252983093,3.5652570785405198,0.003993355205128113,1.0565711486336902,1.0523686667406478,0.004202481893042398,0.5957474708557129
3237,2020-12-14 00:00:00,0.005109352990984917,0.006299208849668503,1.9142836305216977,1.0,0.4301011860370636,3.530013827912626e-07,0.22916772961616516,0.3407306969165802,5.02430645918855,-0.001782063181315796,1.0546882720912696,1.0565711486336902,-0.0018828765424205862,0.5946446657180786
3238,2020-12-15 00:00:00,-0.0025274897925555706,0.006250537000596523,1.339191007309488,1.0,0.43013325333595276,3.5615585147752427e-07,0.22885236144065857,0.3410140573978424,4.949085845657555,0.0029911855964670497,1.0578430404595116,1.0546882720912696,0.0031547683682420224,0.5947088003158569
3239,2020-12-16 00:00:00,-0.00012093124678358436,0.006302955094724894,0.659816598423306,1.0,0.4335786700248718,3.548791482899105e-07,0.22442041337490082,0.3420005738735199,6.294723342421218,0.0033890510054412903,1.06142812447938,1.0578430404595116,0.0035850840198683454,0.5960866808891296
3240,2020-12-17 00:00:00,0.003287889529019594,0.00621302193030715,0.9555774698882806,1.0,0.43370717763900757,3.568329418612848e-07,0.22551147639751434,0.34078100323677063,6.020844099589665,0.0002736985899307598,1.0617186358603627,1.06142812447938,0.00029051138098279417,0.5958935022354126
3241,2020-12-18 00:00:00,-0.002306157723069191,0.006396159529685974,0.5207504690856966,1.0,0.43370962142944336,3.5613132354228583e-07,0.22593048214912415,0.34035956859588623,5.917942769152388,0.0067426968165409384,1.0688774827264407,1.0617186358603627,0.007158846866077928,0.5958130955696106
3242,2020-12-21 00:00:00,0.007423831149935722,0.006913285702466965,0.666506783679252,1.0,0.43352991342544556,3.5573648915487865e-07,0.22610944509506226,0.3403603136539459,7.5618368020471936,-0.012498090756688285,1.0555185549395452,1.0688774827264407,-0.013358927786895514,0.5957505702972412
3243,2020-12-22 00:00:00,-0.00889603327959776,0.008380518294870853,-0.12139969596578726,1.0,0.4312629997730255,3.5521551922101935e-07,0.22610819339752197,0.34262844920158386,2.8756600093510203,0.005590041588344974,1.061418947558927,1.0555185549395452,0.005900392619381911,0.595404863357544
3244,2020-12-23 00:00:00,0.0037344142328947783,0.008543490432202816,0.6219998605571788,1.0,0.43470773100852966,3.571320803530398e-07,0.22622817754745483,0.3390637934207916,3.344210103848491,0.005076504829134576,1.0668072459719449,1.061418947558927,0.0053882984130178,0.5959146618843079
3245,2020-12-24 00:00:00,0.0036356463097035885,0.008485673926770687,0.6451329907122205,1.0,0.4299204647541046,3.5357587080397934e-07,0.22796563804149628,0.34211355447769165,3.5184279957129885,0.006122056776844742,1.0733383005017345,1.0668072459719449,0.006531054529789637,0.5948458909988403
3246,2020-12-28 00:00:00,0.005089161451905966,0.0082121966406703,1.2649880670624445,1.0,0.4361480474472046,3.5705426171261934e-07,0.2264702022075653,0.33738139271736145,6.808615893771901,0.0030686820775103207,1.0766320345075895,1.0733383005017345,0.0032937340058549758,0.596104085445404
3247,2020-12-29 00:00:00,0.0028688404709100723,0.008288214914500713,0.7041381300569456,1.0,0.4326412081718445,3.5426239719527075e-07,0.22453726828098297,0.3428212106227875,7.025705324499949,-0.00045099137500259623,1.076146482745975,1.0766320345075895,-0.00048555176161446667,0.595920979976654
3248,2020-12-30 00:00:00,0.00020402701920829713,0.00824691355228424,1.788418010525822,1.0,0.4307023882865906,3.558123466973484e-07,0.2300151288509369,0.33928215503692627,6.374629130247421,0.0024673200741835988,1.0788016805656162,1.076146482745975,0.0026551978196411863,0.594578742980957
3249,2020-12-31 00:00:00,0.003058258444070816,0.008066197857260704,1.863878728780353,1.0,0.4351333677768707,3.549186828877282e-07,0.2253372222185135,0.3395290970802307,5.746780109514288,-0.0074439837002577836,1.070771098439675,1.0788016805656162,-0.00803058212594121,0.5961526036262512
3250,2021-01-01 00:00:00,-0.0054720803163945675,0.008238689042627811,1.0024436538201758,1.0,0.42835620045661926,3.5457787816994824e-07,0.226516455411911,0.34512704610824585,3.7197372341336368,0.006303094499225503,1.0775202698601798,1.070771098439675,0.006749171420504796,0.5949045419692993
3251,2021-01-04 00:00:00,0.00577313220128417,0.008249027654528618,0.8228477075186797,1.0,0.43580731749534607,3.58178681381105e-07,0.22549232840538025,0.3387000262737274,4.921046486524715,0.004445965758933967,1.0823108880845353,1.0775202698601798,0.004790618224355558,0.5962319374084473
3252,2021-01-05 00:00:00,0.004510003607720137,0.008260720409452915,0.9179971500438523,1.0,0.4310067892074585,3.586065417948703e-07,0.22621746361255646,0.3427754342556,5.785273473830546,0.003113544951996561,1.0856807116866218,1.0823108880845353,0.003369823602086486,0.5953454375267029
3253,2021-01-06 00:00:00,0.0014597763074561954,0.008262952789664268,1.0719201833005376,1.0,0.43333882093429565,3.5500744388627936e-07,0.2277699112892151,0.338890939950943,6.561329959050916,0.0026593454281536033,1.0885679117236802,1.0856807116866218,0.002887200037058335,0.5954063534736633
